year,metric,delta,abs_delta_robust_z,is_change_point
1838,amount_sum,-6956.632291666669,0.36218390551900254,False
1717,data_rows_per_page,2.7139999999999986,0.3589553633217991,False
1724,data_rows_per_page,-2.7139999999999986,0.3589553633217991,False
1746,n_data_rows,28.0,0.355,False
1771,n_data_rows,28.0,0.355,False
1808,n_data_rows,-28.0,0.355,False
1815,amount_median,-1.6953125,0.344670242024202,False
1703,data_rows_per_page,-2.6670000000000016,0.33701660899654096,False
1727,data_rows_per_page,-2.6670000000000016,0.33701660899654096,False
1782,data_rows_per_page,2.6670000000000016,0.33701660899654096,False
1777,amount_sum_real,-4217.0088,0.3357559245321717,False
1776,amount_sum,6683.392187499998,0.3160972292787525,False
1860,entry_ratio,0.014700000000000046,0.31535064935066126,False
1881,entry_ratio,-0.014700000000000046,0.31535064935066126,False
